address,zone,internal
"Av. Juan Palomar y Arias 370, Royal Country, 45116 Zapopan, Jal.",ABADIA RESIDENCIAL,ROYAL COUNTRY
"Av. Juan Palomar y Arias 1249, Vallarta Universidad, 45110 Zapopan, Jal.",ALCAZAR PONIENTE,VALLARTA UNIVERSIDAD
"Colegio del Aire, Avenida Rio, San Francisco 160, 45200 Zapopan, Jal.",ARAUCA,Arauca bosque residencial
"Atlas Colomos, Zapopan, Jal.",ATLAS COLOMOS,ATLAS COLOMOS
"Ayamonte, Bajío II, 45014 Zapopan, Jal.",AYAMONTE, AYAMONTE
"Av. Juan Palomar y Arias 1299, 45110 Zapopan, Jal.",BOSQUE DE LAS LOMAS:,
"Av. Inglaterra, Bosques Vallarta, 45019 Zapopan, Jal.",BOSQUES VALLARTA,Bosques Vallarta
"Bugambilias, 45238 Zapopan, Jal.",BUGAMBILIAS,Bugambilias
"Campo Lago, 45222 Rancho Contento, Jal.",CAMPO LAGO,Campo Lago
"Chapalita, Guadalajara, Jal.",CHAPALITA,Chapalita
"Ciudad del Sol, 45050, Zapopan, Jal.",CIUDAD DEL SOL,Ciudad del Sol
"Granja, 45010 Zapopan, Jal.",CIUDAD GRANJA,Ciudad Granja
"Av. Del Country 220, Club de Golf Las Lomas, 45019 Zapopan, Jal.",CLUB DE GOLF LAS LOMAS,
"Carretera Guadalajara Morelia Km 18.5 Santa Anita, 45645 Tlajomulco de Zúñiga, Jal.",CLUB DE GOLF SANTA ANITA,
"Colinas de San Javier, Guadalajara, Jal.",COLINAS DE SAN JAVIER,COLINAS DE SAN JAVIER
"Colomos Providencia, Guadalajara, Jal.",COLOMOS PROVIDENCIA,
"Aldama 113, Las Flores, 45645 Los Gavilanes, Jal.",CONDOMINIO CAMPO NOGAL,LOS GAVILANES PONIENTE
"Mar Caribe 260, Country Club, 44610 Guadalajara, Jal.",COUNTRY CLUB,Country club
"Pinar de la Venta, 45221 Alianza de Cazadores Diana, Jal.",DIANA NATURA,"Diana Nature Residencial,"
"Paseo del Cielo 1, El Palomar, 45640 Jal.",EL CIELO COUNTRY CLUB,
"El Coto, 45116 Zapopan, Jal.",EL COTO,
"El Manantial, 45645 Los Gavilanes, Jal.",EL MANANTIAL,EL MANANTIAL
"El Palomar, Palomar, Jal.",EL PALOMAR,EL PALOMAR
"Jardín Real, Zapopan, Jal.",JARDIN REAL,JARDIN REAL
"Jardines Universidad, 45110 Zapopan, Jal.",JARDINES UNIVERSIDAD,JARDINES UNIVERSIDAD
