address,zone,internal
"Av. Juan Palomar y Arias 370, Royal Country, 45116 Zapopan, Jal.",ABADIA RESIDENCIAL,Royal Country
"Av. Juan Palomar y Arias 1249, Vallarta Universidad, 45110 Zapopan, Jal.",ALCAZAR PONIENTE,Vallarta Universidad
"Colegio del Aire, Avenida Rio, San Francisco 160, 45200 Zapopan, Jal.",ARAUCA,Fraccionamiento Arauca
"Atlas Colomos, Zapopan, Jal.",ATLAS COLOMOS,ATLAS COLOMOS
"Ayamonte, Bajío II, 45014 Zapopan, Jal.",AYAMONTE:,Ayamonte
,BOREA,
"Av. Juan Palomar y Arias 1299, 45110 Zapopan, Jal.",BOSQUE DE LAS LOMAS:,Jardines Universidad
"Av. Inglaterra, Bosques Vallarta, 45019 Zapopan, Jal.",BOSQUES VALLARTA,Bosques Vallarta
"Bugambilias, 45238 Zapopan, Jal.",BUGAMBILIAS,Ciudad Bugambilia
"Campo Lago, 45222 Rancho Contento, Jal.",CAMPO LAGO, Fraccionamiento Campo Lago
"Chapalita, Guadalajara, Jal.",CHAPALITA,Chapalita
"Ciudad del Sol, 45050, Zapopan, Jal.",CIUDAD DEL SOL,Ciudad Del Sol
"Granja, 45010 Zapopan, Jal.",CIUDAD GRANJA,Ciudad Granja
"Av. Del Country 220, Club de Golf Las Lomas, 45019 Zapopan, Jal.",CLUB DE GOLF LAS LOMAS,Fraccionamiento Las Lomas Club Golf
"Carretera Guadalajara Morelia Km 18.5 Santa Anita, 45645 Tlajomulco de Zúñiga, Jal.",CLUB DE GOLF SANTA ANITA,
"Colinas de San Javier, Guadalajara, Jal.",COLINAS DE SAN JAVIER,Colinas de San Javier
"Colomos Providencia, Guadalajara, Jal.",COLOMOS PROVIDENCIA,Fraccionamiento Colomos Providencia
"Aldama 113, Las Flores, 45645 Los Gavilanes, Jal.",CONDOMINIO CAMPO NOGAL,Los Gavilanes Poniente
"Mar Caribe 260, Country Club, 44610 Guadalajara, Jal.",COUNTRY CLUB,Country Club
"Pinar de la Venta, 45221 Alianza de Cazadores Diana, Jal.",DIANA NATURA,Fraccionamiento Diana Nature Residencial
"Paseo del Cielo 1, El Palomar, 45640 Jal.",EL CIELO COUNTRY CLUB,El Cielo Country Club
"El Coto, 45116 Zapopan, Jal.",EL COTO, Puerta de Hierro
"El Manantial, 45645 Los Gavilanes, Jal.",EL MANANTIAL,Fraccionamiento El Manantial
"El Palomar, Palomar, Jal.",EL PALOMAR,El Palomar
"Jardín Real, Zapopan, Jal.",JARDIN REAL,Fraccionamiento Jardín Real
