address,zone,internal
"Av. Juan Palomar y Arias 370, Royal Country, 45116 Zapopan, Jal.",ABADIA RESIDENCIAL,Colonia Abadía
"Av. Juan Palomar y Arias 1249, Vallarta Universidad, 45110 Zapopan, Jal.",ALCAZAR PONIENTE,Colonia El Alcazar Poniente
"Colegio del Aire, Avenida Rio, San Francisco 160, 45200 Zapopan, Jal.",ARAUCA,Colonia Arauca
"Atlas Colomos, Zapopan, Jal.",ATLAS COLOMOS,Colonia Atlas Colomos
"Ayamonte, Bajío II, 45014 Zapopan, Jal.",AYAMONTE,Colonia Ayamonte
,BOREA,
"Av. Juan Palomar y Arias 1299, 45110 Zapopan, Jal.",BOSQUE DE LAS LOMAS,Colonia Jardines Universidad
"Av. Inglaterra, Bosques Vallarta, 45019 Zapopan, Jal.",BOSQUES VALLARTA,Colonia Bosques Vallarta
"Bugambilias, 45238 Zapopan, Jal.",BUGAMBILIAS,Colonia Bugambilias
"Campo Lago, 45222 Rancho Contento, Jal.",CAMPO LAGO,Colonia Campo Lago
"Chapalita, Guadalajara, Jal.",CHAPALITA,Colonia Chapalita
"Ciudad del Sol, 45050, Zapopan, Jal.",CIUDAD DEL SOL,Colonia Ciudad del Sol
"Granja, 45010 Zapopan, Jal.",CIUDAD GRANJA,Colonia Ciudad Granja
"Av. Del Country 220, Club de Golf Las Lomas, 45019 Zapopan, Jal.",CLUB DE GOLF LAS LOMAS,
"Carretera Guadalajara Morelia Km 18.5 Santa Anita, 45645 Tlajomulco de Zúñiga, Jal.",CLUB DE GOLF SANTA ANITA,
"Colinas de San Javier, Guadalajara, Jal.",COLINAS DE SAN JAVIER,Colonia Colinas de San Javier
"Colomos Providencia, Guadalajara, Jal.",COLOMOS PROVIDENCIA,Colonia Colomos Providencia
"Aldama 113, Las Flores, 45645 Los Gavilanes, Jal.",CONDOMINIO CAMPO NOGAL,Colonia Campo Nogal
"Mar Caribe 260, Country Club, 44610 Guadalajara, Jal.",COUNTRY CLUB,Colonia Country Club
